map_link,name,rating,speciality,contact,website_href
https://www.google.com/maps/place/Life+Line+Hospital+%28Dr.+T.K+Rana%29/data=!4m7!3m6!1s0x390c658f85e90d45:0x9b43cb626221e816!8m2!3d29.0250188!4d77.6874848!16s%2Fg%2F11c1_w3kdz!19sChIJRQ3phY9lDDkRFughYmLLQ5s?authuser=0&hl=en&rclk=1,Life Line Hospital (Dr. T.K Rana),4.3,Hospital,098970 83211,https://www.justdial.com/Meerut/Life-Line-Hospital-Near-Natraj-Cinema-Kanker-Khera/9999PX121-X121-101219173423-C1I6DC_BZDET
https://www.google.com/maps/place/Sudha+Hospital+%26+Trauma+Center/data=!4m7!3m6!1s0x390c659cf8aa7dad:0xd119a5e259a81d0b!8m2!3d28.961063!4d77.732768!16s%2Fg%2F11fn4jm8x1!19sChIJrX2q-JxlDDkRCx2oWeKlGdE?authuser=0&hl=en&rclk=1,Sudha Hospital & Trauma Center,4.7,Private hospital,096349 16901,http://sudhahospitalmeerut.com/
https://www.google.com/maps/place/Jaswant+Rai+Speciality+Hospital/data=!4m7!3m6!1s0x390c65b9b17ab5b9:0x2a4524275556f403!8m2!3d28.9919086!4d77.7228958!16s%2Fg%2F11hd_xbnk5!19sChIJubV6sbllDDkRA_RWVSckRSo?authuser=0&hl=en&rclk=1,Jaswant Rai Speciality Hospital,2.9,Hospital,,https://jaswantraihospital.in/
https://www.google.com/maps/place/Sanford+hospital/data=!4m7!3m6!1s0x390c65b75ba22ec3:0x442f972d23b29d41!8m2!3d28.9589898!4d77.7282017!16s%2Fg%2F11rv3jn6tk!19sChIJwy6iW7dlDDkRQZ2yIy2XL0Q?authuser=0&hl=en&rclk=1,Sanford hospital,4.3,Hospital,074560 70363,
https://www.google.com/maps/place/EVES+Hospital+Meerut/data=!4m7!3m6!1s0x390c6526803493e5:0x4f26ff4306484f1c!8m2!3d28.9814957!4d77.7087836!16s%2Fg%2F11fn2rtkwn!19sChIJ5ZM0gCZlDDkRHE9IBkP_Jk8?authuser=0&hl=en&rclk=1,EVES Hospital Meerut,4,Hospital,074550 21016,
https://www.google.com/maps/place/Om+Trauma+%26+Neuro+Hospital/data=!4m7!3m6!1s0x390c7b527696cb57:0x76d925e90301bb98!8m2!3d28.9592649!4d77.7488423!16s%2Fg%2F11cjj61wwz!19sChIJV8uWdlJ7DDkRmLsBA-kl2XY?authuser=0&hl=en&rclk=1,Om Trauma & Neuro Hospital,4.3,Private hospital,0121 430 3836,
https://www.google.com/maps/place/Prem+Hospital+%7C+Best+IVF+Hospital+in+Meerut+%7C+Laparoscopic+surgeon+Meerut+%7C+Best+gynecologist+in+Meerut+%7C+Pediatric+surgeon/data=!4m7!3m6!1s0x390c637aac9b3567:0x337cef267d8676eb!8m2!3d28.9438939!4d77.6798116!16s%2Fg%2F11v0j5gm39!19sChIJZzWbrHpjDDkR63aGfSbvfDM?authuser=0&hl=en&rclk=1,Prem Hospital | Best IVF Hospital in Meerut | Laparoscopic surgeon Meerut | Best gynecologist in Meerut | Pediatric surgeon,4.9,Hospital,070807 08010,http://www.premhospitals.com/
https://www.google.com/maps/place/Tomar+Hospital/data=!4m7!3m6!1s0x390c7b4d5abaaf9b:0x86f3a19c336c3c18!8m2!3d28.9603002!4d77.7462349!16s%2Fg%2F11d_9kdc5n!19sChIJm6-6Wk17DDkRGDxsM5yh84Y?authuser=0&hl=en&rclk=1,Tomar Hospital,4.5,Hospital,070551 00884,
https://www.google.com/maps/place/IIMT+Life+Line+Hospital/data=!4m7!3m6!1s0x390c7ad9334fd56d:0xfa301d2676e08de2!8m2!3d28.9993578!4d77.7623694!16s%2Fg%2F11ck3p9rlv!19sChIJbdVPM9l6DDkR4o3gdiYdMPo?authuser=0&hl=en&rclk=1,IIMT Life Line Hospital,4.2,Hospital,0121 279 3610,http://iimtlifeline.com/contact.html
https://www.google.com/maps/place/Santosh+Hospital+-+Heart+Center+in+Meerut+%7C+Multi+Superspeciality+in+Meerut/data=!4m7!3m6!1s0x390c64bae555551f:0x96d887381789c57a!8m2!3d28.9464061!4d77.7237026!16s%2Fg%2F124yln8bp!19sChIJH1VV5bpkDDkResWJFziH2JY?authuser=0&hl=en&rclk=1,Santosh Hospital - Heart Center in Meerut | Multi Superspeciality in Meerut,4.1,Hospital,0121 270 9002,
